80.211.177.43 - - [25/Nov/2018:00:03:30 +0800] "POST /GponForm/diag_Form?script/ HTTP/1.1" 404 987
223.166.32.197 - - [25/Nov/2018:04:59:45 +0800] "GET /gdjk/train/easyui/images/pagination_icons.png HTTP/1.1" 304 -
223.166.32.197 - - [25/Nov/2018:04:59:45 +0800] "GET /gdjk/train/css/icons/undo.png HTTP/1.1" 304 -
223.166.32.197 - - [25/Nov/2018:04:59:45 +0800] "GET /gdjk/train/easyui/images/combo_arrow.png HTTP/1.1" 304 -
223.166.32.197 - - [25/Nov/2018:04:59:45 +0800] "GET /gdjk/train/css/icons/search.png HTTP/1.1" 304 -
223.166.32.197 - - [25/Nov/2018:04:59:46 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 9254
223.166.32.197 - - [25/Nov/2018:04:59:46 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 9254
223.166.32.197 - - [25/Nov/2018:04:59:52 +0800] "GET /gdjk/train/jcsbgl-dialog.do?_=1543064297058 HTTP/1.1" 200 10309
223.166.32.197 - - [25/Nov/2018:04:59:52 +0800] "GET /gdjk/train/images/dialog_bg.jpg HTTP/1.1" 304 -
223.166.32.197 - - [25/Nov/2018:04:59:52 +0800] "GET /gdjk/train/css/icons/add1.png HTTP/1.1" 304 -
223.166.32.197 - - [25/Nov/2018:04:59:52 +0800] "GET /gdjk/train/css/icons/cancel.png HTTP/1.1" 304 -
223.166.32.197 - - [25/Nov/2018:04:59:52 +0800] "GET /gdjk/train/css/icons/ok.png HTTP/1.1" 304 -
223.166.32.197 - - [25/Nov/2018:04:59:53 +0800] "GET /gdjk/train/easyui/images/datebox_arrow.png HTTP/1.1" 304 -
223.166.32.197 - - [25/Nov/2018:05:10:40 +0800] "GET /gdjk/train/jcsbgl-dialog.do?_=1543064297059 HTTP/1.1" 200 10309
223.166.32.197 - - [25/Nov/2018:05:29:20 +0800] "GET /gdjk/train/jcsbgl-dialog.do?_=1543064297060 HTTP/1.1" 200 10309
223.166.32.197 - - [25/Nov/2018:05:34:40 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1543064297061 HTTP/1.1" 200 1824
223.166.32.197 - - [25/Nov/2018:05:34:40 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1543064297062 HTTP/1.1" 200 1824
223.166.32.197 - - [25/Nov/2018:05:34:40 +0800] "GET /gdjk/train/sbwxjl.do?_=1543064297063 HTTP/1.1" 200 11721
223.166.32.197 - - [25/Nov/2018:05:34:41 +0800] "POST /gdjk/equ/sbwxjlList.do HTTP/1.1" 200 8990
223.166.32.197 - - [25/Nov/2018:05:34:41 +0800] "POST /gdjk/equ/sbwxjlList.do HTTP/1.1" 200 8990
223.166.32.197 - - [25/Nov/2018:05:35:01 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1543064297064 HTTP/1.1" 200 1824
223.166.32.197 - - [25/Nov/2018:05:35:01 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1543064297065 HTTP/1.1" 200 1824
223.166.32.197 - - [25/Nov/2018:05:35:01 +0800] "GET /gdjk/train/sbbdjl.do?zxjl=0&_=1543064297066 HTTP/1.1" 200 8390
223.166.32.197 - - [25/Nov/2018:05:35:02 +0800] "GET /gdjk/train/css/icons/download.png HTTP/1.1" 304 -
223.166.32.197 - - [25/Nov/2018:05:35:02 +0800] "POST /gdjk/equ/outBdList.do HTTP/1.1" 200 84073
223.166.32.197 - - [25/Nov/2018:05:35:02 +0800] "POST /gdjk/equ/outBdList.do HTTP/1.1" 200 84073
223.166.32.197 - - [25/Nov/2018:05:35:18 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1543064297067 HTTP/1.1" 200 1824
223.166.32.197 - - [25/Nov/2018:05:35:18 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1543064297068 HTTP/1.1" 200 1824
223.166.32.197 - - [25/Nov/2018:05:35:19 +0800] "GET /gdjk/train/sbwxjl.do?_=1543064297069 HTTP/1.1" 200 11721
223.166.32.197 - - [25/Nov/2018:05:35:19 +0800] "POST /gdjk/equ/sbwxjlList.do HTTP/1.1" 200 8990
223.166.32.197 - - [25/Nov/2018:05:35:19 +0800] "POST /gdjk/equ/sbwxjlList.do HTTP/1.1" 200 8990
223.166.32.197 - - [25/Nov/2018:05:35:51 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1543064297070 HTTP/1.1" 200 1824
223.166.32.197 - - [25/Nov/2018:05:35:51 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1543064297071 HTTP/1.1" 200 1824
223.166.32.197 - - [25/Nov/2018:05:35:51 +0800] "GET /gdjk/train/sbbdjl.do?zxjl=0&_=1543064297072 HTTP/1.1" 200 8390
223.166.32.197 - - [25/Nov/2018:05:35:52 +0800] "POST /gdjk/equ/outBdList.do HTTP/1.1" 200 84073
223.166.32.197 - - [25/Nov/2018:05:35:52 +0800] "POST /gdjk/equ/outBdList.do HTTP/1.1" 200 84073
223.166.32.197 - - [25/Nov/2018:05:35:55 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1543064297073 HTTP/1.1" 200 1824
223.166.32.197 - - [25/Nov/2018:05:35:55 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1543064297074 HTTP/1.1" 200 1824
223.166.32.197 - - [25/Nov/2018:05:35:55 +0800] "GET /gdjk/train/jcsbgl.do?_=1543064297075 HTTP/1.1" 200 9752
223.166.32.197 - - [25/Nov/2018:05:35:56 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 9254
223.166.32.197 - - [25/Nov/2018:05:35:56 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 9254
223.166.32.197 - - [25/Nov/2018:05:37:07 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1543064297076 HTTP/1.1" 200 1824
223.166.32.197 - - [25/Nov/2018:05:37:07 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%AE%A1%E7%90%86&_=1543064297077 HTTP/1.1" 200 1824
223.166.32.197 - - [25/Nov/2018:05:37:07 +0800] "GET /gdjk/train/sbbdjl.do?zxjl=0&_=1543064297078 HTTP/1.1" 200 8390
223.166.32.197 - - [25/Nov/2018:05:37:08 +0800] "POST /gdjk/equ/outBdList.do HTTP/1.1" 200 84073
223.166.32.197 - - [25/Nov/2018:05:37:08 +0800] "POST /gdjk/equ/outBdList.do HTTP/1.1" 200 84073
223.166.32.197 - - [25/Nov/2018:05:37:33 +0800] "GET /gdjk/train/sbbdjl-dialog.do?_=1543064297079 HTTP/1.1" 200 4012
210.96.143.19 - - [25/Nov/2018:05:43:08 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:08 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:08 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:08 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:08 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:08 +0800] "GET /manager/html HTTP/1.1" 401 2536
60.216.137.185 - - [25/Nov/2018:05:43:08 +0800] "GET / HTTP/1.1" 200 11418
210.96.143.19 - - [25/Nov/2018:05:43:08 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:08 +0800] "GET /manager/html HTTP/1.1" 401 2536
221.11.229.194 - - [25/Nov/2018:05:43:08 +0800] "GET / HTTP/1.1" 200 11418
60.13.136.55 - - [25/Nov/2018:05:43:08 +0800] "CONNECT www.baidu.com HTTP/1.1" 400 -
210.96.143.19 - - [25/Nov/2018:05:43:08 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:08 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:09 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:09 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:09 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:09 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:09 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:09 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:09 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:09 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:09 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:09 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:10 +0800] "GET /manager/html HTTP/1.1" 401 2536
125.76.61.120 - - [25/Nov/2018:05:43:10 +0800] "GET / HTTP/1.1" 200 11418
210.96.143.19 - - [25/Nov/2018:05:43:10 +0800] "GET /manager/html HTTP/1.1" 401 2536
182.138.214.255 - - [25/Nov/2018:05:43:10 +0800] "CONNECT www.baidu.com:443 HTTP/1.1" 400 -
210.96.143.19 - - [25/Nov/2018:05:43:10 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:10 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:10 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:10 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:10 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:10 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:10 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:10 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:10 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:10 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:11 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:11 +0800] "GET /manager/html HTTP/1.1" 401 2536
125.46.159.197 - - [25/Nov/2018:05:43:11 +0800] "CONNECT cn.bing.com:443 HTTP/1.1" 400 -
210.96.143.19 - - [25/Nov/2018:05:43:11 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:11 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:11 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:11 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:11 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:11 +0800] "GET /manager/html HTTP/1.1" 401 2536
112.193.169.86 - - [25/Nov/2018:05:43:11 +0800] "GET / HTTP/1.1" 200 11418
210.96.143.19 - - [25/Nov/2018:05:43:11 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:12 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:12 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:12 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:12 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:12 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:12 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:12 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:12 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:12 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:12 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:13 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:13 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:13 +0800] "GET /manager/html HTTP/1.1" 401 2536
223.166.75.217 - - [25/Nov/2018:05:43:13 +0800] "CONNECT www.voanews.com:443 HTTP/1.1" 400 -
210.96.143.19 - - [25/Nov/2018:05:43:13 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:13 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:13 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:13 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:13 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:13 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:13 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:13 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:14 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:14 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:14 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:14 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:14 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:14 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:14 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:14 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:14 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:14 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:15 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:15 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:15 +0800] "GET /manager/html HTTP/1.1" 401 2536
175.42.2.239 - - [25/Nov/2018:05:43:15 +0800] "GET / HTTP/1.1" 200 11418
210.96.143.19 - - [25/Nov/2018:05:43:15 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:15 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:15 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:15 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:15 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:15 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:15 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:15 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:16 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:16 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:16 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:16 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:16 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:16 +0800] "GET /manager/html HTTP/1.1" 401 2536
14.204.114.243 - - [25/Nov/2018:05:43:16 +0800] "GET / HTTP/1.1" 200 11418
210.96.143.19 - - [25/Nov/2018:05:43:16 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:16 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:16 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:16 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:17 +0800] "GET /manager/html HTTP/1.1" 401 2536
106.45.1.244 - - [25/Nov/2018:05:43:17 +0800] "GET /english/ HTTP/1.1" 404 967
210.96.143.19 - - [25/Nov/2018:05:43:17 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:17 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:17 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:17 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:17 +0800] "GET /manager/html HTTP/1.1" 401 2536
210.96.143.19 - - [25/Nov/2018:05:43:17 +0800] "GET /manager/html HTTP/1.1" 401 2536
220.175.36.207 - - [25/Nov/2018:05:43:17 +0800] "GET / HTTP/1.1" 200 11418
210.96.143.19 - - [25/Nov/2018:05:43:17 +0800] "GET /manager/html HTTP/1.1" 401 2536
