80.82.70.187 - - [01/Mar/2019:00:04:53 +0800] "GET /cache/global/img/gs.gif HTTP/1.1" 404 997
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/anno.do?_=1551343145626 HTTP/1.1" 200 10946
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/sys/getMenuTree2.do? HTTP/1.1" 200 8632
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/images/top_bg1.jpg HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/easyui/images/layout_arrows.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/easyui/images/loading.gif HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/easyui/images/blank.gif HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/easyui/images/tabs_icons.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/images/user.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/icons/reload.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/easyui/images/panel_tools.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%BB%B4%E6%8A%A4%E7%AE%A1%E7%90%86&_=1551343145627 HTTP/1.1" 200 10964
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/zhuangtai.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/xiaoshou.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/yiqi.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/weixiu.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/shebei.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/danwei.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/easyui/images/accordion_arrows.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/zuoye.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/caidan.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/xianlu.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/zulin.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/yonghu.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/easyui/images/tree_icons.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/biaoding.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/canshu.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/diannao.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:39 +0800] "GET /gdjk/train/css/ext_icons/shouji.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:42 +0800] "GET /gdjk/train/jcsbgl.do?_=1551343145628 HTTP/1.1" 200 9988
222.44.83.128 - - [01/Mar/2019:00:40:42 +0800] "GET /gdjk/train/css/icons/pencil.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:42 +0800] "GET /gdjk/train/css/icons/edit_remove.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:42 +0800] "GET /gdjk/train/easyui/images/pagination_icons.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:42 +0800] "GET /gdjk/train/css/icons/edit_add.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:42 +0800] "GET /gdjk/train/css/icons/search.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:42 +0800] "GET /gdjk/train/easyui/images/combo_arrow.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:42 +0800] "GET /gdjk/train/css/icons/undo.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:40:42 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 8923
222.44.83.128 - - [01/Mar/2019:00:40:42 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 8923
222.44.83.128 - - [01/Mar/2019:00:40:59 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 59
222.44.83.128 - - [01/Mar/2019:00:41:08 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 8923
222.44.83.128 - - [01/Mar/2019:00:41:12 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 8507
222.44.83.128 - - [01/Mar/2019:00:41:14 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 2646
222.44.83.128 - - [01/Mar/2019:00:41:23 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 59
222.44.83.128 - - [01/Mar/2019:00:41:23 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 496
222.44.83.128 - - [01/Mar/2019:00:41:40 +0800] "GET /gdjk/train/anno.do?title=%E6%97%A5%E5%B8%B8%E5%B7%A5%E4%BD%9C%E7%AE%A1%E7%90%86&_=1551343145629 HTTP/1.1" 200 1424
222.44.83.128 - - [01/Mar/2019:00:41:44 +0800] "GET /gdjk/train/anno.do?title=%E6%97%A5%E5%B8%B8%E5%B7%A5%E4%BD%9C%E7%AE%A1%E7%90%86&_=1551343145630 HTTP/1.1" 200 1424
222.44.83.128 - - [01/Mar/2019:00:41:45 +0800] "GET /gdjk/train/anno.do?title=%E6%97%A5%E5%B8%B8%E5%B7%A5%E4%BD%9C%E7%AE%A1%E7%90%86&_=1551343145631 HTTP/1.1" 200 1424
222.44.83.128 - - [01/Mar/2019:00:41:45 +0800] "GET /gdjk/train/zlsq.do?_=1551343145632 HTTP/1.1" 200 11158
222.44.83.128 - - [01/Mar/2019:00:41:46 +0800] "POST /gdjk/lj/queryZlsqList.do HTTP/1.1" 200 3576
222.44.83.128 - - [01/Mar/2019:00:41:46 +0800] "POST /gdjk/lj/queryZlsqList.do HTTP/1.1" 200 3576
222.44.83.128 - - [01/Mar/2019:00:41:47 +0800] "GET /gdjk/train/zlsq-dialog.do?_=1551343145633 HTTP/1.1" 200 10691
222.44.83.128 - - [01/Mar/2019:00:41:47 +0800] "GET /gdjk/train/css/icons/ok.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:41:47 +0800] "GET /gdjk/train/css/icons/cancel.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:41:47 +0800] "GET /gdjk/train/images/dialog_bg.jpg HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:41:48 +0800] "GET /gdjk/train/easyui/images/datebox_arrow.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:42:02 +0800] "GET /gdjk/train/easyui/images/calendar_arrows.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:43:12 +0800] "POST /gdjk/lj/insertZlsq.do HTTP/1.1" 200 54
222.44.83.128 - - [01/Mar/2019:00:43:12 +0800] "GET /gdjk/train/easyui/images/messager_icons.png HTTP/1.1" 304 -
222.44.83.128 - - [01/Mar/2019:00:43:12 +0800] "POST /gdjk/lj/queryZlsqList.do HTTP/1.1" 200 4008
222.44.83.128 - - [01/Mar/2019:00:43:19 +0800] "POST /gdjk/lj/updateZlsqsp.do HTTP/1.1" 200 54
222.44.83.128 - - [01/Mar/2019:00:43:19 +0800] "POST /gdjk/lj/queryZlsqList.do HTTP/1.1" 200 4018
222.44.83.128 - - [01/Mar/2019:00:43:36 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%BB%B4%E6%8A%A4%E7%AE%A1%E7%90%86&_=1551343145634 HTTP/1.1" 200 10964
222.44.83.128 - - [01/Mar/2019:00:43:37 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%BB%B4%E6%8A%A4%E7%AE%A1%E7%90%86&_=1551343145635 HTTP/1.1" 200 10964
222.44.83.128 - - [01/Mar/2019:00:43:37 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%BB%B4%E6%8A%A4%E7%AE%A1%E7%90%86&_=1551343145636 HTTP/1.1" 200 10964
222.44.83.128 - - [01/Mar/2019:00:43:37 +0800] "GET /gdjk/train/jcsbgl.do?_=1551343145637 HTTP/1.1" 200 9988
222.44.83.128 - - [01/Mar/2019:00:43:38 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 8923
222.44.83.128 - - [01/Mar/2019:00:43:38 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 8923
222.44.83.128 - - [01/Mar/2019:00:43:45 +0800] "POST /gdjk/train/jcsbglList.do HTTP/1.1" 200 496
222.44.83.128 - - [01/Mar/2019:00:44:17 +0800] "GET /gdjk/train/anno.do?title=%E6%97%A5%E5%B8%B8%E5%B7%A5%E4%BD%9C%E7%AE%A1%E7%90%86&_=1551343145638 HTTP/1.1" 200 1424
222.44.83.128 - - [01/Mar/2019:00:44:20 +0800] "GET /gdjk/train/anno.do?title=%E6%97%A5%E5%B8%B8%E5%B7%A5%E4%BD%9C%E7%AE%A1%E7%90%86&_=1551343145639 HTTP/1.1" 200 1424
222.44.83.128 - - [01/Mar/2019:00:44:20 +0800] "GET /gdjk/train/anno.do?title=%E6%97%A5%E5%B8%B8%E5%B7%A5%E4%BD%9C%E7%AE%A1%E7%90%86&_=1551343145640 HTTP/1.1" 200 1424
222.44.83.128 - - [01/Mar/2019:00:44:20 +0800] "GET /gdjk/train/zlsq.do?_=1551343145641 HTTP/1.1" 200 11158
222.44.83.128 - - [01/Mar/2019:00:44:21 +0800] "POST /gdjk/lj/queryZlsqList.do HTTP/1.1" 200 4018
222.44.83.128 - - [01/Mar/2019:00:44:21 +0800] "POST /gdjk/lj/queryZlsqList.do HTTP/1.1" 200 4018
45.237.157.10 - - [01/Mar/2019:00:44:31 +0800] "GET / HTTP/1.1" 200 11418
222.44.83.128 - - [01/Mar/2019:00:44:32 +0800] "GET /gdjk/train/anno.do?title=%E6%97%A5%E5%B8%B8%E5%B7%A5%E4%BD%9C%E7%AE%A1%E7%90%86&_=1551343145642 HTTP/1.1" 200 1424
222.44.83.128 - - [01/Mar/2019:00:44:32 +0800] "GET /gdjk/train/anno.do?title=%E6%97%A5%E5%B8%B8%E5%B7%A5%E4%BD%9C%E7%AE%A1%E7%90%86&_=1551343145643 HTTP/1.1" 200 1424
222.44.83.128 - - [01/Mar/2019:00:44:32 +0800] "GET /gdjk/train/zlht.do?_=1551343145644 HTTP/1.1" 200 9323
222.44.83.128 - - [01/Mar/2019:00:44:33 +0800] "POST /gdjk/lj/queryZlhtList.do HTTP/1.1" 200 1026
222.44.83.128 - - [01/Mar/2019:00:44:33 +0800] "POST /gdjk/lj/queryZlhtList.do HTTP/1.1" 200 1026
222.44.83.128 - - [01/Mar/2019:00:45:04 +0800] "GET /gdjk/train/anno.do?title=%E6%97%A5%E5%B8%B8%E5%B7%A5%E4%BD%9C%E7%AE%A1%E7%90%86&_=1551343145645 HTTP/1.1" 200 1424
222.44.83.128 - - [01/Mar/2019:00:45:04 +0800] "GET /gdjk/train/anno.do?title=%E6%97%A5%E5%B8%B8%E5%B7%A5%E4%BD%9C%E7%AE%A1%E7%90%86&_=1551343145646 HTTP/1.1" 200 1424
222.44.83.128 - - [01/Mar/2019:00:45:04 +0800] "GET /gdjk/train/zlsq.do?_=1551343145647 HTTP/1.1" 200 11158
222.44.83.128 - - [01/Mar/2019:00:45:05 +0800] "POST /gdjk/lj/queryZlsqList.do HTTP/1.1" 200 4018
222.44.83.128 - - [01/Mar/2019:00:45:05 +0800] "POST /gdjk/lj/queryZlsqList.do HTTP/1.1" 200 4018
183.3.234.55 - - [01/Mar/2019:00:48:24 +0800] "GET /gdjk/login.do?nsukey=nRqc2FNf2BqzlfiSxTmfcaojMNsa2BmRixWLxJdR2n6IaxBOq2B2HDlvXAvJxYfDvwd0DJpdi2vAmnNfJFdDMNeijsctRRl12ibus7ymEpX3vpKDj2Bgx9N1UZuWW999aLY8cCWPb8IJZVfR9APp3h5AxA4p1BQn8kny8OxOJDniOuIwEQ5Bn2VtHNtJ44HRrovJ2FuxN5I1C5cyY2Bn7N96aR2FRg3D3D HTTP/1.1" 200 3998
113.96.219.247 - - [01/Mar/2019:00:48:24 +0800] "GET /gdjk/train/css/login.css HTTP/1.1" 200 4452
113.96.219.249 - - [01/Mar/2019:00:48:24 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 200 1669
183.3.226.234 - - [01/Mar/2019:00:48:24 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 200 14075
14.116.133.168 - - [01/Mar/2019:00:48:24 +0800] "GET /gdjk/authCode.do HTTP/1.1" 200 1679
113.96.219.247 - - [01/Mar/2019:00:48:24 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
113.96.218.50 - - [01/Mar/2019:00:48:24 +0800] "GET /gdjk/train/images/mima-icon.jpg HTTP/1.1" 200 1413
14.116.137.166 - - [01/Mar/2019:00:48:24 +0800] "GET /gdjk/train/images/yzmz-icon.jpg HTTP/1.1" 200 15000
14.116.137.167 - - [01/Mar/2019:00:48:24 +0800] "GET /gdjk/train/images/user-icon.jpg HTTP/1.1" 200 1405
223.104.210.189 - - [01/Mar/2019:00:48:24 +0800] "GET /gdjk/authCode.do HTTP/1.1" 200 1476
61.151.178.179 - - [01/Mar/2019:00:49:07 +0800] "GET /gdjk/login.do?nsukey=Ss42BZKE9w8BivH5Td2FeZZoWH7FXBzho22BjewRcWCEFs3sSWV3pGe8EjMg8TqPfnctEAGKWyL6lvyzyrauSp2gYZHtu6ob5F3BC6ylH3EoO2P2mY9QTduQGR3S2F6Jqb1rJrwQFRZfqoquG15lGWSaDQ8GE29R2F5BkS3A2BOOfI2FKoMuCMBmhWmXGfpcOlAPUiY HTTP/1.1" 200 3998
61.129.7.217 - - [01/Mar/2019:00:49:07 +0800] "GET /gdjk/train/css/login.css HTTP/1.1" 200 4452
61.151.178.179 - - [01/Mar/2019:00:49:07 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 200 14075
61.129.7.254 - - [01/Mar/2019:00:49:07 +0800] "GET /gdjk/authCode.do HTTP/1.1" 200 1656
61.151.178.172 - - [01/Mar/2019:00:49:07 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 200 1669
101.226.225.85 - - [01/Mar/2019:00:49:07 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
61.151.178.176 - - [01/Mar/2019:00:49:07 +0800] "GET /gdjk/train/images/user-icon.jpg HTTP/1.1" 200 1405
61.151.207.252 - - [01/Mar/2019:00:49:07 +0800] "GET /gdjk/train/images/yzmz-icon.jpg HTTP/1.1" 200 15000
61.151.178.176 - - [01/Mar/2019:00:49:07 +0800] "GET /gdjk/train/images/mima-icon.jpg HTTP/1.1" 200 1413
183.47.49.152 - - [01/Mar/2019:00:49:07 +0800] "GET /gdjk/authCode.do HTTP/1.1" 200 1619
183.47.49.152 - - [01/Mar/2019:00:49:20 +0800] "GET /gdjk/login.do HTTP/1.1" 200 3998
183.47.49.152 - - [01/Mar/2019:00:49:20 +0800] "GET /gdjk/authCode.do HTTP/1.1" 200 1752
183.47.49.152 - - [01/Mar/2019:00:49:20 +0800] "GET /gdjk/train/css/login.css HTTP/1.1" 200 4452
183.47.49.152 - - [01/Mar/2019:00:49:20 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 200 14075
183.47.49.152 - - [01/Mar/2019:00:49:20 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 200 1669
183.47.49.152 - - [01/Mar/2019:00:49:20 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
183.47.49.152 - - [01/Mar/2019:00:49:20 +0800] "GET /gdjk/train/images/user-icon.jpg HTTP/1.1" 200 1405
183.47.49.152 - - [01/Mar/2019:00:49:20 +0800] "GET /gdjk/train/images/mima-icon.jpg HTTP/1.1" 200 1413
183.47.49.152 - - [01/Mar/2019:00:49:20 +0800] "GET /gdjk/train/images/yzmz-icon.jpg HTTP/1.1" 200 15000
183.47.49.152 - - [01/Mar/2019:00:49:20 +0800] "GET /gdjk/train/images/fav.ico HTTP/1.1" 200 4286
101.91.60.109 - - [01/Mar/2019:00:49:21 +0800] "GET /gdjk/login.do HTTP/1.1" 200 3998
101.91.60.109 - - [01/Mar/2019:00:49:22 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
101.91.60.109 - - [01/Mar/2019:00:49:22 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 200 1669
101.91.60.109 - - [01/Mar/2019:00:49:23 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 200 14075
61.129.6.174 - - [01/Mar/2019:00:49:23 +0800] "GET /gdjk/login.do?nsukey=nRqc%2FNf%2BqzlfiSxTmfcaojMNsa%2BmRixWLxJdR2n6IaxBOq%2B2HDlvXAvJxYfDvwd0DJpdi2vAmnNfJFdDMNeijsctRRl12ibus7ymEpX3vpKDj%2Bgx9N1UZuWW999aLY8cCWPb8IJZVfR9APp3h5AxA4p1BQn8kny8OxOJDniOuIwEQ5Bn2VtHNtJ44HRrovJ%2FuxN5I1C5cyY%2Bn7N96aR%2FRg%3D%3D HTTP/1.1" 200 3998
61.151.178.217 - - [01/Mar/2019:00:49:24 +0800] "GET /gdjk/login.do?nsukey=nRqc%2FNf%2BqzlfiSxTmfcaojMNsa%2BmRixWLxJdR2n6IaxBOq%2B2HDlvXAvJxYfDvwd0DJpdi2vAmnNfJFdDMNeijsctRRl12ibus7ymEpX3vpKDj%2Bgx9N1UZuWW999aLY8cCWPb8IJZVfR9APp3h5AxA4p1BQn8kny8OxOJDniOuIwEQ5Bn2VtHNtJ44HRrovJ%2FuxN5I1C5cyY%2Bn7N96aR%2FRg%3D%3D HTTP/1.1" 200 3998
61.129.6.174 - - [01/Mar/2019:00:49:24 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
61.129.6.174 - - [01/Mar/2019:00:49:25 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 200 1669
61.151.178.217 - - [01/Mar/2019:00:49:25 +0800] "GET /gdjk/train/js/jquery-1.8.0.min.js HTTP/1.1" 200 92556
61.129.6.174 - - [01/Mar/2019:00:49:25 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 200 14075
61.151.178.217 - - [01/Mar/2019:00:49:26 +0800] "GET /gdjk/train/js/login.js HTTP/1.1" 200 1669
61.151.178.217 - - [01/Mar/2019:00:49:26 +0800] "GET /gdjk/train/js/jquery.particleground.js HTTP/1.1" 200 14075
183.47.49.152 - - [01/Mar/2019:00:49:47 +0800] "POST /gdjk/login.do HTTP/1.1" 200 9062
183.47.49.152 - - [01/Mar/2019:00:49:47 +0800] "GET /gdjk/train/css/main.css HTTP/1.1" 200 4300
183.47.49.152 - - [01/Mar/2019:00:49:47 +0800] "GET /gdjk/train/css/icon.css HTTP/1.1" 200 4947
183.47.49.152 - - [01/Mar/2019:00:49:47 +0800] "GET /gdjk/train/easyui/datagrid-groupview.js HTTP/1.1" 200 13084
183.47.49.152 - - [01/Mar/2019:00:49:47 +0800] "GET /gdjk/train/easyui/easyui-lang-zh_CN.js HTTP/1.1" 200 2501
183.47.49.152 - - [01/Mar/2019:00:49:47 +0800] "GET /gdjk/train/easyui/easyui.css HTTP/1.1" 200 69986
183.47.49.152 - - [01/Mar/2019:00:49:47 +0800] "GET /gdjk/train/easyui/jquery.min.js HTTP/1.1" 200 95957
183.47.49.152 - - [01/Mar/2019:00:49:47 +0800] "GET /gdjk/train/images/fav.ico HTTP/1.1" 200 4286
183.47.49.152 - - [01/Mar/2019:00:49:47 +0800] "GET /gdjk/train/images/top_bg1.jpg HTTP/1.1" 200 1320
183.47.49.152 - - [01/Mar/2019:00:49:47 +0800] "GET /gdjk/train/easyui/jquery.easyui.min.js HTTP/1.1" 200 436133
183.47.49.152 - - [01/Mar/2019:00:49:47 +0800] "GET /gdjk/train/images/user.png HTTP/1.1" 200 130034
183.47.49.152 - - [01/Mar/2019:00:49:48 +0800] "GET /gdjk/train/anno.do?_=1551343733492 HTTP/1.1" 200 10946
183.47.49.152 - - [01/Mar/2019:00:49:48 +0800] "GET /gdjk/sys/getMenuTree2.do? HTTP/1.1" 200 8632
183.47.49.152 - - [01/Mar/2019:00:49:48 +0800] "GET /gdjk/train/easyui/images/layout_arrows.png HTTP/1.1" 200 319
183.47.49.152 - - [01/Mar/2019:00:49:48 +0800] "GET /gdjk/train/easyui/images/panel_tools.png HTTP/1.1" 200 852
183.47.49.152 - - [01/Mar/2019:00:49:48 +0800] "GET /gdjk/train/easyui/images/blank.gif HTTP/1.1" 200 43
183.47.49.152 - - [01/Mar/2019:00:49:48 +0800] "GET /gdjk/train/easyui/images/tabs_icons.png HTTP/1.1" 200 150
183.47.49.152 - - [01/Mar/2019:00:49:48 +0800] "GET /gdjk/train/easyui/images/loading.gif HTTP/1.1" 200 1737
183.47.49.152 - - [01/Mar/2019:00:49:48 +0800] "GET /gdjk/train/css/icons/reload.png HTTP/1.1" 200 1045
183.47.49.152 - - [01/Mar/2019:00:49:48 +0800] "GET /gdjk/train/anno.do?title=%E8%AE%BE%E5%A4%87%E7%BB%B4%E6%8A%A4%E7%AE%A1%E7%90%86&_=1551343733493 HTTP/1.1" 200 10964
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/easyui/images/accordion_arrows.png HTTP/1.1" 200 184
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/easyui/images/tree_icons.png HTTP/1.1" 200 3115
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/css/ext_icons/shebei.png HTTP/1.1" 200 932
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/css/ext_icons/canshu.png HTTP/1.1" 200 535
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/css/ext_icons/biaoding.png HTTP/1.1" 200 617
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/css/ext_icons/weixiu.png HTTP/1.1" 200 686
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/css/ext_icons/zuoye.png HTTP/1.1" 200 412
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/css/ext_icons/zulin.png HTTP/1.1" 200 496
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/css/ext_icons/xiaoshou.png HTTP/1.1" 200 528
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/css/ext_icons/zhuangtai.png HTTP/1.1" 200 265
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/css/ext_icons/diannao.png HTTP/1.1" 200 719
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/css/ext_icons/shouji.png HTTP/1.1" 200 759
183.47.49.152 - - [01/Mar/2019:00:49:49 +0800] "GET /gdjk/train/css/ext_icons/caidan.png HTTP/1.1" 200 236
